base_state,outs,RE
000,0,0.48881955861805815
001,0,1.3203125
010,0,1.0860597439544808
011,0,1.8806096528365792
100,0,0.8765143737166324
101,0,1.7547683923705721
110,0,1.5301324833150711
111,0,2.3423062931975265
000,1,0.2604100304721261
001,1,0.8597539543057996
010,1,0.6339340885684861
011,1,1.350413223140496
100,1,0.5082351963777598
101,1,1.1242108152621466
110,1,0.9231427105308171
111,1,1.502618685588782
000,2,0.09919084687520997
001,2,0.30753646677471635
010,2,0.2982337765429649
011,2,0.5275507114744172
100,2,0.20725716033024155
101,2,0.42586442664582924
110,2,0.41450151057401813
111,2,0.7136528393072896
