base_state,outs,balls,strikes,event_type,ERV
101,0,0,1,CalledStrike,-0.48484848484848486
101,0,0,2,Ball,-0.2641509433962264
101,0,0,2,CalledStrike,0.0
101,0,1,0,Ball,-0.3076923076923077
101,0,1,0,CalledStrike,-0.38181818181818183
101,0,1,1,Ball,-0.46464646464646464
101,0,1,1,CalledStrike,-0.5625
101,0,1,2,Ball,-0.423728813559322
101,0,1,2,CalledStrike,0.0
101,0,2,0,Ball,-0.1111111111111111
101,0,2,0,CalledStrike,-0.43478260869565216
101,0,2,1,Ball,-0.358974358974359
101,0,2,1,CalledStrike,-0.4166666666666667
101,0,2,2,Ball,-0.47058823529411764
101,0,2,2,CalledStrike,-0.16666666666666666
101,0,3,0,Ball,-0.1
101,0,3,0,CalledStrike,-0.23529411764705882
101,0,3,1,Ball,-0.25
101,0,3,1,CalledStrike,-0.3333333333333333
101,0,3,2,Ball,-0.34782608695652173
101,0,3,2,CalledStrike,-0.25
110,0,0,0,Ball,-0.13673655423883319
110,0,0,0,CalledStrike,-0.14222873900293256
110,0,0,1,Ball,-0.16560509554140126
110,0,0,1,CalledStrike,-0.1206896551724138
110,0,0,2,Ball,-0.13533834586466165
110,0,0,2,CalledStrike,-0.04
110,0,1,0,Ball,-0.16986301369863013
110,0,1,0,CalledStrike,-0.14847161572052403
110,0,1,1,Ball,-0.16835016835016836
110,0,1,1,CalledStrike,-0.14912280701754385
110,0,1,2,Ball,-0.1867816091954023
110,0,1,2,CalledStrike,-0.06666666666666667
110,0,2,0,Ball,0.0
110,0,2,0,CalledStrike,-0.10679611650485436
110,0,2,1,Ball,-0.2
110,0,2,1,CalledStrike,-0.16176470588235295
110,0,2,2,Ball,-0.1963470319634703
110,0,2,2,CalledStrike,-0.07142857142857142
110,0,3,0,Ball,-0.20930232558139536
110,0,3,0,CalledStrike,-0.17543859649122806
110,0,3,1,Ball,-0.1774193548387097
110,0,3,1,CalledStrike,-0.29411764705882354
110,0,3,2,Ball,-0.25961538461538464
110,0,3,2,CalledStrike,-0.2608695652173913
111,0,0,0,Ball,-0.3926174496644295
111,0,0,0,CalledStrike,-0.4438202247191011
111,0,0,1,Ball,-0.48031496062992124
111,0,0,1,CalledStrike,-0.2962962962962963
111,0,0,2,Ball,-0.45454545454545453
111,0,0,2,CalledStrike,-0.75
111,0,1,0,Ball,-0.40217391304347827
111,0,1,0,CalledStrike,-0.3898305084745763
111,0,1,1,Ball,-0.5227272727272727
111,0,1,1,CalledStrike,-0.42857142857142855
111,0,1,2,Ball,-0.4473684210526316
111,0,1,2,CalledStrike,-0.1111111111111111
111,0,2,0,Ball,-0.1111111111111111
111,0,2,0,CalledStrike,-0.36363636363636365
111,0,2,1,Ball,-0.5897435897435898
111,0,2,1,CalledStrike,-0.2222222222222222
111,0,2,2,Ball,-0.7115384615384616
111,0,2,2,CalledStrike,-0.5714285714285714
111,0,3,0,Ball,-1.125
111,0,3,0,CalledStrike,-0.3888888888888889
111,0,3,1,Ball,-1.4615384615384615
111,0,3,1,CalledStrike,-0.8888888888888888
111,0,3,2,Ball,-1.7142857142857142
111,0,3,2,CalledStrike,-0.5
000,1,0,0,Ball,-0.015121791727971227
000,1,0,0,CalledStrike,-0.01318232454511697
000,1,0,1,Ball,-0.019653179190751446
000,1,0,1,CalledStrike,-0.013829787234042552
000,1,0,2,Ball,-0.013600572655690766
000,1,0,2,CalledStrike,-0.011494252873563218
000,1,1,0,Ball,-0.018691588785046728
000,1,1,0,CalledStrike,-0.01977587343441002
000,1,1,1,Ball,-0.026482818997592472
000,1,1,1,CalledStrike,-0.013183915622940013
000,1,1,2,Ball,-0.02049893637594276
000,1,1,2,CalledStrike,-0.007462686567164179
000,1,2,0,Ball,-0.0059121621621621625
000,1,2,0,CalledStrike,-0.02531645569620253
000,1,2,1,Ball,-0.0203125
000,1,2,1,CalledStrike,-0.01799775028121485
000,1,2,2,Ball,-0.029965753424657533
000,1,2,2,CalledStrike,-0.013605442176870748
000,1,3,0,Ball,-0.020050125313283207
000,1,3,0,CalledStrike,-0.018544935805991442
000,1,3,1,Ball,-0.02185792349726776
000,1,3,1,CalledStrike,-0.028925619834710745
000,1,3,2,Ball,-0.0321285140562249
000,1,3,2,CalledStrike,-0.010822510822510822
001,1,0,0,Ball,-0.2
001,1,0,0,CalledStrike,-0.2366412213740458
001,1,0,1,Ball,-0.2490118577075099
001,1,0,1,CalledStrike,-0.10909090909090909
001,1,0,2,Ball,-0.2838709677419355
