batter,n_swings,launch_speed_mean,launch_speed_std,launch_speed_median,launch_speed_p95,pct_hard_hit,launch_angle_mean,launch_angle_std,bat_speed_mean,bat_speed_std,swing_length_mean,attack_angle_mean,swing_path_tilt_mean,intercept_ball_minus_batter_pos_x_inches_mean,intercept_ball_minus_batter_pos_y_inches_mean,attack_direction_mean,cluster
607732,89,84.06516853932584,14.152160942635991,87.8,100.2,0.25842696629213485,8.52808988764045,30.34090019625491,67.5813953488372,3.385106189242615,7.315116279069768,15.299802425892,30.704760570589965,39.9039179376248,30.245031675950624,1.090572526251338,3
608070,547,88.94954296160878,13.663659147262305,91.4,106.7,0.3711151736745887,19.695970695970697,27.691072026439336,70.65920792079208,5.438841001064266,7.134059405940594,7.278026893329677,29.13931673999104,33.694754198379066,30.925586439135337,354.7276706650239,1
608324,384,90.13005319148937,12.72486389176048,93.30000000000001,103.8,0.4348958333333333,17.585106382978722,27.521786598777563,70.58780487804879,3.7594862341060127,6.906233062330624,12.312515028751218,27.559898278854057,33.64967461619982,30.091132424310832,358.8262942950474,1
608348,309,88.55686274509804,14.23029677100711,92.25,105.5,0.3948220064724919,16.53921568627451,29.229562253765796,70.41000000000001,3.832866878996809,6.836551724137931,9.93790956999866,32.58688657722014,38.144950120519304,29.391970722439705,359.0394970616044,1
608369,302,92.97224080267559,13.709493061215312,96.5,110.10999999999999,0.5331125827814569,12.020066889632107,25.515088285107954,73.04145454545456,3.7160960885517618,6.654545454545454,12.163648972246792,34.53866486018771,38.69563720593835,32.88228172600894,3.6833483946849306,0
608385,57,89.57407407407408,14.327189946671131,93.15,105.28,0.42105263157894735,21.203703703703702,30.246396716396593,71.452,3.946594502006168,7.4479999999999995,13.01384542321381,36.03683680472282,33.126669207549554,32.0509453115903,2.3608732474055905,1
608671,45,82.71111111111111,21.383268971773045,89.1,105.36,0.35555555555555557,1.0666666666666667,31.72853605195172,66.21212121212122,10.228323346709786,6.284848484848485,-6.694834083172036,34.446052506247455,36.13645427669915,22.49169553769372,356.40935392380135,2
608701,142,91.80575539568345,13.293104727717072,95.5,107.61999999999999,0.5070422535211268,12.273381294964029,26.953746144786976,72.81617647058823,5.058329699258961,7.533823529411764,11.156358428132581,31.19685904562553,38.61985033210163,27.96841434004845,3.3719992032368657,0
609280,296,87.884229390681,13.744747932100278,90.0,106.42,0.3344594594594595,10.583629893238435,29.728430638117928,70.61934306569343,4.769725758986646,7.535401459854014,4.50322669360854,24.65621085017186,40.05394880978407,29.433409854791243,0.45862972609321034,4
620443,219,90.5478672985782,13.569560918657738,94.4,106.2,0.4703196347031963,5.805687203791469,24.181164765297282,70.82920792079207,4.2666108943420245,7.252475247524752,9.212286665894439,30.248166779064196,38.95715854008089,26.240981579484725,5.7562728037599475,0
621020,443,90.05148741418765,14.312472229305278,93.9,106.53999999999999,0.4672686230248307,13.061784897025172,27.277764737976856,70.47582159624413,5.240292080418538,7.347183098591549,14.801434312635205,34.690968514203846,36.568540640961785,32.0944828656486,0.15151091681473056,1
621028,106,85.52135922330098,13.635130883597375,87.7,100.78999999999999,0.27358490566037735,10.74757281553398,26.88162811895009,67.74600000000001,6.832105137222389,6.404,4.323555203416439,31.970682535905226,36.96387959506315,30.68160566067313,0.7473744425500582,3
621035,76,85.14473684210526,16.28992649655478,87.5,104.575,0.34210526315789475,19.026315789473685,27.3875756182546,70.42394366197183,3.6307993920557085,6.990140845070423,11.420490406148966,36.723892124234474,41.58033994182061,34.43994322364523,359.8000743095162,1
621043,441,90.51392694063927,14.764380186830953,93.5,108.8,0.46258503401360546,7.567198177676538,28.67332012308179,73.85475000000001,4.935085115806072,7.077000000000001,5.8518040137065395,32.67330170506902,37.883986072772586,27.511293579547736,0.970442427849926,0
